bigram,count,sem,mean,std,skew,kurtosis
ib,229,0.0191511176006,0.308209605696,0.289808997317,7.28789973944,76.8435552971
ic,2218,0.00412386246114,0.220431018972,0.19421597222,4.51620973262,33.018930307
id,2011,0.00419457994144,0.202659373764,0.188102475475,5.32705218327,52.397186394
ie,1781,0.00395598928669,0.193442447872,0.166950247236,4.39482552151,28.5770868798
if,1371,0.00596046363557,0.251482859059,0.220698189334,4.47199541996,35.3235119004
ig,1263,0.0068867246943,0.23168329397,0.24474532063,9.42143054662,155.169615295
ik,1225,0.00437802430336,0.21406530562,0.153230850618,11.9639955061,215.32991159
il,2490,0.00308057979255,0.23120281189,0.153720622973,9.80855801409,156.711569106
im,2938,0.00356490438888,0.228605854335,0.193229656681,8.07679347987,105.746406971
in,12823,0.00105947253324,0.18167371129,0.119973277484,6.5870081501,77.6485160587
io,1413,0.0036518991131,0.153103326692,0.1372744942,10.1844384672,177.24236223
ip,337,0.00834232124108,0.242270028066,0.153144660642,3.6765456932,22.3200954091
ir,2235,0.00330121103797,0.19995973114,0.1560673486,4.28125758765,32.1844373698
is,8226,0.00173567876759,0.169269632849,0.157421375713,8.04801881485,105.630452988
it,7147,0.00208445553025,0.201050370746,0.17621972752,7.81595452362,101.963787576
iu,151,0.0160651929727,0.129397351903,0.1974123963,3.62426603681,18.1740628002
iv,852,0.00795681730616,0.270964789021,0.232251850973,6.96703275041,95.8835621819
ix,107,0.0166799714637,0.309943925234,0.172538966437,1.17642792431,1.80423309762
iy,34,0.0441466120009,0.298,0.257416770898,1.43572136587,1.11231030792
iz,229,0.0197782704641,0.335497816594,0.299299542272,2.62497471411,10.4989079708
ja,285,0.00598247614295,0.18825614015,0.100995821341,3.15035518481,14.0379840749
jd,53,0.0109319575121,0.108471698113,0.079585851993,1.16841848662,2.18528574912
je,283,0.00661027725677,0.177692579505,0.111202075571,2.36915114927,8.50697976789
jf,82,0.0153644615999,0.141036585366,0.139131117227,2.4645690844,8.19506251153
jh,62,0.0101174306712,0.0989193537005,0.0796647287697,0.511863971544,-0.972322170363
